type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
TV Show,Wild Nordic,,Dan Nachtrab,,18-Dec-20,2019,TV-PG,1 Season,"Animals & Nature, Docuseries, Reality","As seen by the Viking gods, the fabled wildernesses of Norway, Finland and Sweden are revealed."
Movie,Disney Channel's Epic Holiday Showdown,,,United States,11-Dec-20,2020,TV-G,50 min,"Fantasy, Variety",DC stars try to save the holidays from Scrooge.
Movie,Disney Holiday Magic Quest,,,United States,11-Dec-20,2020,TV-G,46 min,Movies,ZOMBIES stars race to save the holiday magic!
Movie,Gender Revolution: A Journey With Katie Couric,,Katie Couric,United States,11-Dec-20,2017,TV-14,93 min,Documentary,Katie Couric explores questions about gender identity with experts and everyday people.
Movie,High School Musical: The Musical: The Holiday Special,,"Olivia Rodrigo, Joshua Bassett, Sofia Wylie, Matt Cornett, Larry Saperstein, Julia Lester",United States,11-Dec-20,2020,TV-G,46 min,"Drama, Music, Romance",The cast of High School Musical: The Musical: The Series celebrates the holidays with music & more!
Movie,Ralph Breaks the Internet,"Rich Moore, Phil Johnston","John C. Reilly, Sarah Silverman, Gal Gadot, Jane Lynch, Jack McBrayer, Alan Tudyk",United States,11-Dec-20,2018,PG,116 min,"Action-Adventure, Animation, Comedy",Ralph and Vanellope are swept into the internet.
Movie,Safety,Reginald Hudlin,"Jay Reeves, Thaddeus J. Mixson, Corinne Foxx, Matthew Glave, James Badge Dale, Hunter Sansone",United States,11-Dec-20,2020,PG,123 min,"Biographical, Drama, Sports",A drama inspired by the empowering story of former Clemson University safety Ray McElrathbey.
Movie,Anastasia,"Don Bluth, Gary Goldman","Meg Ryan, John Cusack, Kelsey Grammer, Christopher Lloyd, Hank Azaria, Bernadette Peters",United States,4-Dec-20,1997,G,95 min,"Animation, Family, Fantasy","A girl heads to Paris to learn if she is the long lost princess, Anastasia."
Movie,Godmothered,Sharon Maguire,"June Squibb, Jillian Bell, Jane Curtin, Carlease Burke, Sonia Manzano, Erica Parks",United States,4-Dec-20,2020,PG,113 min,"Comedy, Family, Fantasy",An inexperienced fairy godmother-in-training tries to prove that people still need fairy godmothers.
Movie,Man vs. Shark,,"Jeremiah Sullivan, Dave Hoffman",United States,4-Dec-20,2019,TV-PG,45 min,"Animals & Nature, Documentary",Marine biologist attempts to get bitten by a deadly tiger shark and survive
Movie,Mulan,Niki Caro,"Yifei Liu, Donnie Yen, Gong Li, Jet Li, Jason Lee, Yoson An","United States, Canada, Hong Kong",4-Dec-20,2020,PG-13,117 min,"Action-Adventure, Coming of Age, Drama",A young woman risks it all to be a great Chinese warrior in Disney’s MULAN.
Movie,Sky High,Mike Mitchell,"Kelly Preston, Lynda Carter, Michael Angarano, Danielle Panabaker, Mary Elizabeth Winstead, Bruce Campbell",United States,4-Dec-20,2005,PG,101 min,"Action-Adventure, Comedy, Family",It takes inner and outer strength to make a name for yourself when you're the son of heroes.
Movie,The Disney Holiday Singalong,,"Ryan Seacrest, Andrea Bocelli, BTS , Michael Bublé, Ciara , Chloe x Halle",United States,4-Dec-20,2020,TV-G,45 min,"Family, Music, Variety",A festive musical event with more Disney melodies and classic holiday songs.
Movie,The Nutcracker and the Four Realms,"Lasse Hallström, Joe Johnston","Keira Knightley, Mackenzie Foy, Eugenio Derbez, Jayden Fowora-Knight, Matthew Macfadyen, Richard Grant",United States,4-Dec-20,2018,PG,101 min,"Action-Adventure, Family, Fantasy",From Disney comes the reimagined tale of The Nutcracker.
Movie,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",Miguel Arteta,"Steve Carell, Jennifer Garner, Ed Oxenbould, Dylan Minnette, Kerris Dorsey, Jennifer Coolidge",United States,27-Nov-20,2014,PG,83 min,"Comedy, Coming of Age, Family",It's one calamity after another during the worst day of Alexander's life.
Movie,Black Beauty,Ashley Avis,"Mackenzie Foy, Kate Winslet, Iain Glen, Calam Lynch, Claire Forlani, Fern Deacon",United States,27-Nov-20,2020,TV-PG,111 min,"Animals & Nature, Coming of Age, Drama",A wild horse and a teenage girl forge an unbreakable bond which keeps them connected for a lifetime.
Movie,From Our Family to Yours,Angela Affinita,,United Kingdom,27-Nov-20,2020,TV-G,3 min,"Animation, Family","A granddaughter brings joy on Christmas by mending a beloved Mickey, evoking memories of the past."
TV Show,Once Upon a Time in Wonderland,,"Sophie Lowe, Michael Socha, Peter Gadiot, Emma Rigby, Naveen Andrews, John Lithgow","Canada, United States",27-Nov-20,2013,TV-PG,1 Season,"Action-Adventure, Fantasy, Soap Opera / Melodrama",Alice tells a tale of a strange new land.
TV Show,Party Animals,,,,27-Nov-20,2016,TV-G,1 Season,"Animals & Nature, Kids, Music",This music video series captures the funny moments animals have in their day-to-day lives.
Movie,Folklore: the long pond studio sessions,,"Taylor Swift, Aaron Dessner, Jack Antonoff, Justin Vernon",United States,25-Nov-20,2020,TV-14,107 min,"Documentary, Music",An intimate musical concert featuring Taylor Swift performing every song from “folklore.”
TV Show,Bia,,"Isabela Souza, Giulia Guerrini, Julio Peña, Guido Messina, Andrea de Alba, Agustina Palma",Argentina,20-Nov-20,2019,TV-G,1 Season,"Coming of Age, Drama, Music","Bia is filled with passion, after the loss of her sister she will rediscover music and find love."
TV Show,Marvel's 616,,,United States,20-Nov-20,2020,TV-14,1 Season,"Anthology, Docuseries",An anthology documentary series exploring the impact of the Marvel Comics Universe.
Movie,Planes,Klay Hall,"Dane Cook, Stacy Keach, Brad Garrett, Teri Hatcher, Julia Louis-Dreyfus, Priyanka Chopra",United States,20-Nov-20,2013,PG,94 min,"Action-Adventure, Animation, Comedy",A crop duster takes on the world’s fastest in the greatest air race ever.
Movie,Planes: Fire & Rescue,Bobs Gannaway,"Dane Cook, Ed Harris, Julie Bowen, Curtis Armstrong, John Higgins, Hal Holbrook",United States,20-Nov-20,2014,PG,85 min,"Action-Adventure, Animation, Comedy",Air racer Dusty teams up with a dynamic crew of flying firefighters.
Movie,The Real Right Stuff,,,United States,20-Nov-20,2020,TV-PG,90 min,"Documentary, Historical",The Real Right Stuff tells the story of the nation’s first astronauts.
TV Show,The Wonderful World of Mickey Mouse,,"Chris Diamantopoulos, Kaitlyn Robrock, Bill Farmer, Tony Anselmo, Tress MacNeille",United States,18-Nov-20,2020,TV-G,1 Season,"Action-Adventure, Animation, Anthology",It's nothing but fun for Mickey and friends as they embark on their greatest adventures yet.
Movie,LEGO Star Wars Holiday Special,Ken Cunningham,"Helen Sadler, Omar Miller, Jake Green, Kelly Marie Tran, Trevor Devall, Matt Sloan",United States,17-Nov-20,2020,TV-Y7-FV,48 min,"Action-Adventure, Animation, Comedy","On the festive Life Day, Rey and BB-8 embark on an epic adventure across Star Wars history."
Movie,Home Alone,Chris Columbus,"Macaulay Culkin, Joe Pesci, Daniel Stern, John Heard, Roberts Blossom, Catherine O'Hara",United States,13-Nov-20,1990,PG,103 min,"Comedy, Family","When Kevin is home while his family goes on a Christmas trip, he must defend his home from burglars."
Movie,Home Alone 2: Lost in New York,Chris Columbus,"Macaulay Culkin, Joe Pesci, Daniel Stern, John Heard, Devin Ratray, Catherine O'Hara",United States,13-Nov-20,1992,PG,121 min,"Comedy, Family",Kevin is home alone in NYC but won't be for long since the Wet Bandits are also in the Big Apple.
Movie,Home Alone 3,Raja Gosnell,"Alex D. Linz, Haviland Morris, Olek Krupa",United States,13-Nov-20,1997,PG,103 min,"Comedy, Family","A gang of criminals come up against 8 year-old Alex Pruitt, who is home alone with the chicken pox."
TV Show,Inside Pixar,,,United States,13-Nov-20,2020,TV-PG,1 Season,"Docuseries, Family","An inside look at the people, artistry, and culture of Pixar Animation Studios."
Movie,Petra: Secrets of the Ancient Builders,"Thierry Fessard, Yohann Thiriet",Bert Morris,United Arab Emirates,13-Nov-20,2019,TV-G,45 min,"Documentary, Historical","Discover the technical prowess behind Petra, a wonder in the middle of the desert."
Movie,Ultimate Viking Sword,Peter Yost,Jay Sanders,,13-Nov-20,2019,TV-PG,45 min,"Documentary, Historical","National Geographic reconstructs the Ulfberht, a Viking warrior’s ultimate weapon."
Movie,Disney's A Christmas Carol,Robert Zemeckis,"Jim Carrey, Gary Oldman, Colin Firth, Bob Hoskins, Robin Penn, Cary Elwes",United States,6-Nov-20,2009,PG,97 min,"Animation, Fantasy",Three ghosts take Ebenezer Scrooge on an eye-opening journey.
TV Show,Fancy Nancy (Shorts),,"Mia Sinclair Jenness, Dana Heath, Spencer Moss, Alyson Hannigan",,6-Nov-20,2019,TV-Y,1 Season,"Animation, Kids",Follow Nancy as she shows you how to be more Fancy!
TV Show,Goldie & Bear,,"Georgie Kidder, Justine Huxley, Natalie Lander, Jim Cummings, David Kaufman, David Lodge",United States,6-Nov-20,2015,TV-Y,2 Seasons,"Action-Adventure, Animation, Buddy",Goldie and Bear go on adventures in Fairytale Forest.
Movie,Mr. Magoo,Stanley Tong,"Leslie Nielsen, Kelly Lynch, Ernie Hudson, Stephen Tobolowsky, Nick Chinlund, Matt Keeslar",United States,6-Nov-20,1997,PG,88 min,"Action-Adventure, Comedy, Crime",Clueless Mr. Magoo sets out to get back a stolen precious gem.
Movie,Prep & Landing,"Kevin Deters, Stevie Wermers-Skelton","Dave Foley, Sarah Chalke, Mason Cotton, Lino DiSalvo, Derek Richardson, William Sheppard",United States,6-Nov-20,2009,TV-G,23 min,"Animation, Family, Fantasy",An elite elf unit ensures homes around the world are prepared for Santa.
Movie,Prep & Landing: Naughty vs. Nice,"Kevin Deters, Stevie Wermers-Skelton","Dave Foley, Derek Richardson, Sarah Chalke, Rob Riggle, Chris Parnell, W. Sheppard",United States,6-Nov-20,2011,TV-G,23 min,"Animation, Family, Fantasy",Wayne and Lanny race to save Christmas!
Movie,Disney Channel Halloween House Party,Trevor Moore,"Tobie Windham, Raphael Alejandro, Suzi Barrett, Isaac Ryan Brown, Kylie Cantrall, Scarlett Estevez",United States,30-Oct-20,2020,TV-G,23 min,"Comedy, Variety","Disney Channel Stars celebrate Halloween in a sketch comedy special with tricks, treats, and more!"
TV Show,The Mandalorian,,"Pedro Pascal, Carl Weathers, Gina Carano, Omid Abtahi, Nick Nolte",United States,30-Oct-20,2019,TV-14,2 Seasons,"Action-Adventure, Family, Science Fiction","After the fall of the Empire, a lone gunfighter makes his way through the lawless galaxy."
Movie,The Sorcerer's Apprentice,Jon Turteltaub,"Nicolas Cage, Jay Baruchel, Alfred Molina, Teresa Palmer, Monica Bellucci, Omar Miller",United States,30-Oct-20,2010,PG,111 min,"Action-Adventure, Fantasy",A modern-day sorcerer must make his seemingly average recruit into the ultimate apprentice.
TV Show,X-Ray Earth,,,United States,30-Oct-20,2020,TV-PG,1 Season,"Animals & Nature, Docuseries, Reality",What if we could x-ray the Earth to reveal the origins of natural disasters? Now we can.
TV Show,Gathering Storm,,Tucker McDougall,United States,23-Oct-20,2020,TV-PG,1 Season,"Animals & Nature, Docuseries","Witness first hand stories combined with scientific insight, analysis and satellite mapping."
TV Show,India From Above,,Dev Patel,,23-Oct-20,2019,TV-PG,1 Season,"Docuseries, Reality","India From Above, a two-part aerial documentary of a nation and its people."
TV Show,Marvel Super Hero Adventures,,,United States,23-Oct-20,2017,TV-Y,4 Seasons,"Action-Adventure, Animation, Kids",Spider-Man sets off on adventures with Marvel heroes!
Movie,Once Upon a Snowman,"Dan Abraham, Trent Correy","Josh Gad, Idina Menzel, Kristen Bell, Jonathan Groff, Chris Williams",United States,23-Oct-20,2020,TV-PG,12 min,"Animation, Comedy, Coming of Age",This new short film follows Olaf’s first steps as he comes to life and searches for his identity.
Movie,Pompeii: Secrets Of The Dead,Ben Finney,Maite Jauregui,United States,23-Oct-20,2019,TV-PG,45 min,"Documentary, Historical",Forensic experts scan Pompeii’s victims to investigate why they didn’t escape the eruption.
Movie,Toy Story of Terror!,Angus MacLane,"Tom Hanks, Tim Allen, Joan Cusack, Carl Weathers, Stephen Tobolowsky, Timothy Dalton",United States,23-Oct-20,2013,TV-G,22 min,"Animation, Comedy, Family",Join the Toy Story gang in a frighteningly fun animated adventure.
Movie,Beverly Hills Chihuahua,Raja Gosnell,"Piper Perabo, Manolo Cardona, Jamie Curtis, Jose Yazpik, Maury Sterling, Jesus Ochoa","United States, Mexico",16-Oct-20,2008,PG,95 min,"Action-Adventure, Comedy, Family","Papi has to rescue his true love, Chloe, when she gets lost in Mexico."
Movie,Clouds,Justin Baldoni,"Fin Argus, Sabrina Carpenter, Madison Iseman, Neve Campbell, Tom Scott, Lil Rel Howery",United States,16-Oct-20,2020,PG-13,122 min,"Biographical, Drama, Music",A young musician with months to live turns to music to make the most of the time he has left.
Movie,Lost on Everest,Renan Ozturk,Tate Donovan,United States,16-Oct-20,2020,TV-14,60 min,"Animals & Nature, Documentary, Survival",The quest to reveal what happened to the explorers who first set out to summit Mt. Everest.
Movie,Marvel's Iron Man & Captain America: Heroes United,Leo Riley,"Adrian Pasdar, Roger Smith, Fred Tatasciore, David Kaye, Liam O'Brien, Clancy Brown",United States,16-Oct-20,2014,PG,72 min,"Action-Adventure, Animation, Science Fiction",Iron Man and Captain America battle the Red Skull and Taskmaster.
TV Show,Meet The Chimps,,Jane Lynch,United States,16-Oct-20,2020,TV-PG,1 Season,"Animals & Nature, Docuseries, Family","Meet the Chimps takes viewers inside the secret life of Chimp Haven, a unique wildlife sanctuary."
TV Show,The Rocketeer,,"Kitana Turnbull, Billy Campbell, Kathy Najimy, Callan Farris, Frank Welker",United States,16-Oct-20,2019,TV-Y,1 Season,"Action-Adventure, Animation, Kids",Kit becomes a rocket-pack wearing superhero!
Movie,Oil Spill of The Century,,Loïck Peyron,,9-Oct-20,2019,TV-PG,45 min,"Documentary, Historical",Loïck Peyron investigates the 1978 Amoco Cadiz oil spill and its impact.
Movie,The Chronicles Of Narnia: The Voyage of the Dawn Treader,Michael Apted,"Georgie Henley, Skandar Keynes, Ben Barnes, Will Poulter, Tilda Swinton","United States, United Kingdom",9-Oct-20,2010,PG,113 min,"Action-Adventure, Family, Fantasy",Three heroes sail with King Caspian to help Narnian lords banished by an evil usurper of the throne.
TV Show,The Right Stuff,,"Jake McDorman, Patrick Adams, Colin O’Donoghue, Eloise Mumford, James Lafferty, Nora Zehetner",United States,9-Oct-20,2020,TV-14,1 Season,"Drama, Historical",The incredible story of the Mercury Seven astronauts and their extraordinary achievements.
Movie,Wild Portugal,Christian Baumeister,Bart Thomasson,,9-Oct-20,2020,TV-14,45 min,"Animals & Nature, Documentary, Family",Explore a rugged world where diverse species fight for survival.
Movie,X2,Bryan Singer,"Patrick Stewart, Hugh Jackman, Ian McKellen, Halle Berry, Famke Janssen, James Marsden","Canada, United States",9-Oct-20,2003,PG-13,134 min,"Action-Adventure, Family, Science Fiction","X-Men newcomer, Night Crawler, joins Magneto to rescue their brethren and forestall a holocaust."
Movie,Mr. Holland's Opus,Stephen Herek,"Richard Dreyfuss, Glenne Headly, Jay Thomas, W.H. Macy, Alicia Witt, Jean Kelly",United States,2-Oct-20,1996,PG,143 min,"Drama, Music",A musician finds his passion when he takes a “day job” as a music teacher.
Movie,Disneynature Oceans,"Jacques Perrin, Jacques Cluzaud","Pierce Brosnan, Lancelot Perrin","France, Switzerland, Spain, United States, United Arab Emirates",25-Sep-20,2010,G,84 min,"Animals & Nature, Documentary, Family",Journey into the depths of a wonderland filled with beauty and power.
Movie,Hidden Figures,Theodore Melfi,"Taraji Henson, Octavia Spencer, Janelle Monáe, Kevin Costner, Kirsten Dunst, Jim Parsons",United States,25-Sep-20,2016,PG,128 min,"Biographical, Drama, Family",A story about three women at NASA who helped launch John Glenn into orbit.
TV Show,Magic of Disney's Animal Kingdom,,Josh Gad,United Kingdom,25-Sep-20,2020,TV-PG,1 Season,"Animals & Nature, Docuseries, Family",Magic of Disney’s Animal Kingdom goes backstage at Walt Disney World Resort. Narrated by Josh Gad.
Movie,Secret Society of Second-Born Royals,,"Peyton Lee, Niles Fitch, Isabella Blake-Thomas, Olivia Deeble, Skylar Astin, Elodie Yung",United States,25-Sep-20,2020,TV-PG,99 min,"Action-Adventure, Coming of Age, Family","Sam, a rebellious royal, learns she is part of the Secret Society of Second-Born Royals."
Movie,The Giant Robber Crab,Moritz Katz,Colin Solman,United States,25-Sep-20,2019,TV-PG,44 min,"Animals & Nature, Documentary","As we follow the robber’s life cycle, we learn that crabs are much more than creepy crawlies."
TV Show,Wild Central America,,Nigel Marven,,25-Sep-20,2020,TV-PG,1 Season,"Action-Adventure, Animals & Nature, Docuseries",Presenter Nigel Marven discovers the colourful and varied wildlife and culture of Central America.
TV Show,Ancient China from Above,,Dr. Allan Maca,United States,18-Sep-20,2020,TV-14,1 Season,"Docuseries, Historical",Archaeologist Allan Maca reveals the amazing wonders of Ancient China like never before.
TV Show,Becoming,,,United States,18-Sep-20,2020,TV-PG,1 Season,"Anthology, Docuseries, Family","Becoming chronicles the origin stories of world-class entertainers, musicians and athletes."
TV Show,Coop & Cami Ask The World,,"Ruby Turner, Dakota Lotus, Olivia Sanabia, Albert Tsai, Paxton Booth, Rebecca Metz",United States,18-Sep-20,2018,TV-G,2 Seasons,"Comedy, Family, Kids","Cooper and Cami Wrather co-host ""Would You Wrather."""
TV Show,Europe from Above,,Julian Barratt,United Kingdom,18-Sep-20,2019,TV-G,1 Season,"Docuseries, Reality",Europe from Above takes to the air over Europe’s finest cultural and geographical landmarks.
Movie,Ever After: A Cinderella Story,Andy Tennant,"Drew Barrymore, Anjelica Huston, Dougray Scott, Patrick Godfrey, Megan Dodds, Melanie Lynskey",United States,18-Sep-20,1998,PG-13,122 min,"Drama, Romance",A young woman falls in love with a prince while pretending to be a princess.
TV Show,Kingdom of the Mummies,,Kerry Shale,United States,18-Sep-20,2020,TV-14,1 Season,"Docuseries, Historical, Reality",A team of archaeologists uncover the first Egyptian funeral parlor ever found.
Movie,Morning Light,Mark Monroe,Patrick Warburton,United States,18-Sep-20,2008,PG,99 min,"Documentary, Sports","Fifteen rookie sailors race to be part of the ""Morning Light"" crew."
Movie,Notre Dame: Race Against The Inferno,"Fabrice Gardel, Simon Kessler, Josselin Mahot",Paul Bandey,"United Kingdom, France",18-Sep-20,2019,TV-PG,45 min,Documentary,"On April 15, 2019, Paris’ firefighters gave everything to save the Notre Dame cathedral."
TV Show,Once Upon a Time,,"Ginnifer Goodwin, Jennifer Morrison, Robert Carlyle, Lana Parrilla, Jared Gilmore, Josh Dallas",United States,18-Sep-20,2011,TV-PG,7 Seasons,"Action-Adventure, Fantasy, Soap Opera / Melodrama",Fairy tale characters inhabit a land of good and evil.
TV Show,Soy Luna,,"Karol Sevilla, Ruggero Pasquarelli, Valentina Zenere, Lucila Gandolfo, Michael Ronda, Carolina Kopelioff","Argentina, Mexico",18-Sep-20,2015,TV-G,3 Seasons,"Comedy, Coming of Age, Drama",Luna will learn that love transcends distance.
TV Show,Violetta,,"Diego Ramos, Martina Stoessel, Pablo Espinosa, Jorge Blanco, Mercedes Lambre, Nicolás Garnier",Argentina,18-Sep-20,2011,TV-G,3 Seasons,"Coming of Age, Drama, Music",Violetta is a talented teen following her dream.
Movie,Christopher Robin,Marc Forster,"Ewan McGregor, Hayley Atwell, Bronte Carmichael, Mark Gatiss, Oliver Davies, Ronke Adekoluejo","United Kingdom, United States",11-Sep-20,2018,PG,109 min,"Drama, Family, Fantasy",Pooh leaves the Hundred Acre Wood to help grown-up Christopher Robin.
Movie,D2: The Mighty Ducks,Sam Weisman,"Emilio Estevez, Michael Tucker, Jan Rubeš, Kathryn Erbe, Joshua Jackson, Elden Ratliff",United States,4-Sep-20,1994,PG,107 min,"Comedy, Drama, Family",The Mighty Ducks face the meanest team on ice at the Junior Goodwill Games.
Movie,D3: The Mighty Ducks,Robert Lieberman,"Emilio Estevez, Jeffrey Nordling, David Selby, Heidi Kling, Joshua Jackson, Elden Ratliff",United States,4-Sep-20,1996,PG,104 min,"Comedy, Coming of Age, Drama",The Mighty Ducks inherit a new coach and a new set of problems.
TV Show,Earth to Ned,,,United States,4-Sep-20,2020,TV-PG,1 Season,"Comedy, Parody, Science Fiction","From the Jim Henson Company, alien commander Ned hosts a late-night talk show with celebrity guests."
Movie,Trick or Treat,Jack Hannah,,United States,4-Sep-20,1952,TV-G,9 min,"Animation, Family, Fantasy","Donald plays a trick on his nephews, but a witch helps them out. See details for advisory."
Movie,Alice Through the Looking Glass,James Bobin,"Johnny Depp, Anne Hathaway, Mia Wasikowska, Matt Lucas, Rhys Ifans, Helena Carter","United States, United Kingdom",28-Aug-20,2016,PG,115 min,"Action-Adventure, Fantasy",Alice returns to Underland to save the Mad Hatter in a race against time.
Movie,Phineas and Ferb The Movie: Candace Against the Universe,,"Ashley Tisdale, Vincent Martella, Ali Wong, Dan Povenmire, Alyson Stoner, Maulik Pancholy",United States,28-Aug-20,2020,TV-G,86 min,"Action-Adventure, Animation, Comedy","Phineas and Ferb set out across the galaxy to rescue Candace, who has been abducted by aliens."
Movie,Back to the Titanic,,,United Kingdom,21-Aug-20,2020,TV-PG,44 min,"Documentary, Historical",Back to the Titanic documents the first manned dives to Titanic in nearly 15 years.
Movie,Beauty and the Beast,Bill Condon,"Emma Watson, Dan Stevens, Luke Evans, Kevin Kline, Josh Gad, Ewan McGregor",United States,21-Aug-20,2017,PG,138 min,"Family, Fantasy, Musical",Belle must look beyond the Beast’s exterior to find the true Prince within.
Movie,Mars: One Day on the Red Planet,Martin Johnson,Nigel Barber,United States,21-Aug-20,2020,TV-PG,88 min,Documentary,"An epic journey around the real Mars – built from data, as you’ve never seen it before."
Movie,The One and Only Ivan,Thea Sharrock,"Sam Rockwell, Angelina Jolie, Danny DeVito, Helen Mirren, Brooklynn Prince, Ramón Rodríguez",United States,21-Aug-20,2020,PG,95 min,"Drama, Family, Fantasy",An adaptation of the award-winning book about a very special gorilla.
TV Show,"Weirdest, Bestest, Truest",,"Charlie Engelman, Kirby Engelman",,21-Aug-20,2018,TV-G,1 Season,"Animals & Nature, Kids, Variety",Siblings Kirby and Charlie share strange discoveries and fun facts from the world of Weird But True!
TV Show,Disney Junior T.O.T.S.: Calling All T.O.T.S. (Shorts),,"Jet Jurgensmeyer, Christian Simon, Megan Hilty",,14-Aug-20,2020,TV-Y,1 Season,"Animation, Kids, Music",What happens after the baby animals are delivered?
Movie,Disney Zombies 2,Paul Hoen,"Milo Manheim, Meg Donnelly, Trevor Tordjman, Kylee Russell, Carla Jeffery, Chandler Kinney",United States,14-Aug-20,2020,TV-G,84 min,"Coming of Age, Fantasy, Musical",Zed and Addison encounter a group of werewolves!
Movie,India's Wild Leopards,,"Sandesh Kadur, Priya Singh",India,14-Aug-20,2020,TV-14,45 min,"Animals & Nature, Documentary",Cameraman Sandesh Kadur’s mission is to uncover the secretive lives of India’s leopards.
TV Show,Jungle Animal Rescue,,Dan Nachtrab,United States,14-Aug-20,2019,TV-PG,1 Season,"Animals & Nature, Docuseries, Family",A team of conservationists and veterinarians helps India’s people and wildlife coexist.
Movie,Magic Camp,Mark Waters,"Adam DeVine, Gillian Jacobs, Nathaniel McIntyre, Jeffrey Tambor, Cole Sand, Isabella Crovetti",United States,14-Aug-20,2020,PG,101 min,"Comedy, Family",A group of misfit campers help a down-on-his-luck magician rediscover his love of magic.
Movie,Marvel Studios' Ant-Man and the Wasp,Peyton Reed,"Paul Rudd, Evangeline Lilly, Michael Peña, Walton Goggins, Hannah John-Kamen, David Dastmalchian",United States,14-Aug-20,2018,PG-13,120 min,"Action-Adventure, Comedy, Science Fiction",Ant-Man and the Wasp must join forces to uncover secrets from the past.
TV Show,Nature Boom Time,,"Charlie Engelman, Kirby Engelman, Patrick Rahill",United States,14-Aug-20,2016,TV-G,1 Season,"Animals & Nature, Docuseries, Kids","Charlie, Kirby, and Patrick travel around the U.S. to learn about what makes nature awesome."
TV Show,Sam's Zookeeper Challenge,,Sam Peltz,United States,14-Aug-20,2018,TV-G,1 Season,"Animals & Nature, Docuseries, Family",Sam is put to the test to care for animals in “Zookeeper’s Challenge.”
TV Show,Scuba Sam's World,,Sam Peltz,United States,14-Aug-20,2018,TV-G,1 Season,"Animals & Nature, Docuseries, Kids",Take a deep dive and learn all about the beloved sea animals in our oceans!
TV Show,Spaced Out,,Ben DeTour,,14-Aug-20,2018,TV-G,1 Season,"Docuseries, Kids",Learn about our universe through imagery taken from the Hubble Space Telescope.
Movie,The Greatest Showman,Michael Gracey,"Hugh Jackman, Zac Efron, Michelle Williams, Rebecca Ferguson, Zendaya , Keala Settle",United States,14-Aug-20,2017,PG,106 min,"Biographical, Drama, Family",A bold and original musical celebrating the birth of show business and dreams coming to life.
TV Show,Weird But True!,,"Charlie Engelman, Kirby Engelman",United States,14-Aug-20,2017,TV-G,3 Seasons,"Animals & Nature, Kids, Variety","Come along as we reveal fun, strange & surprising facts about our world in Weird But True!"
TV Show,Wild Cats of India,,James Murray,United States,14-Aug-20,2020,TV-PG,1 Season,"Animals & Nature, Docuseries, Family",Journey across the country’s landscapes to paint an intimate portrait of India's Wild Cats.
Movie,Howard,Don Hahn,Howard Ashman,United States,7-Aug-20,2020,TV-PG,95 min,"Biographical, Documentary, Music","“Howard” is the untold story of Howard Ashman, the brilliant lyricist behind Disney classics."
Movie,Prince of Persia: The Sands of Time,Mike Newell,"Jake Gyllenhaal, Ben Kingsley, Gemma Arterton, Alfred Molina, Richard Coyle, Toby Kebbell",United States,7-Aug-20,2010,PG-13,117 min,"Action-Adventure, Fantasy",A rogue prince and rival princess safeguard a magical dagger with the power to reverse time.
Movie,Star Wars: Galaxy's Edge-Adventure Awaits,,"Neil Harris, Kaley Cuoco, Oscar Isaac, Sarah Hyland, Keegan-Michael Key, Jay Leno",United States,7-Aug-20,2019,TV-PG,81 min,"Documentary, Family",Celebrating Disney’s new land that brings Star Wars to life!
Movie,The Hidden Kingdoms of China,"Ben Wallis, Emma Fraser, Jess Tombs",Michelle Yeoh,United States,7-Aug-20,2020,TV-PG,88 min,"Animals & Nature, Documentary, Family",THE HIDDEN KINGDOMS OF CHINA takes audiences into the secret wilds of China.
Movie,The Peanuts Movie,Steve Martino,"Noah Schnapp, Alex Garfin, Hadley Miller, Mariel Sheets, Venus Schultheis, Noah Johnston",United States,7-Aug-20,2015,G,89 min,"Animation, Comedy, Family","Snoopy takes to the skies against The Red Baron, while his pal, Charlie Brown, begins an epic quest."
TV Show,UFO Europe: The Untold Stories,,Robert Ashby,,7-Aug-20,2012,TV-PG,1 Season,"Docuseries, Reality",A selection of stories featuring encounters and sightings of the unexplained.
TV Show,Animal Showdown,,Brian Peck,,31-Jul-20,2018,TV-G,1 Season,"Animals & Nature, Docuseries, Family",Animals face-off in this surprising competition of the toughest and biggest in the animal kingdom.
TV Show,Best Job Ever,,,,31-Jul-20,2018,TV-G,1 Season,"Animals & Nature, Docuseries, Family",Check out the cool jobs Nat Geo explorers do every day!
Movie,Big Cat Games,Jeremy Turner,Boone Smith,,31-Jul-20,2015,TV-PG,44 min,"Animals & Nature, Family, Reality","Boone Smith hosts a feline showdown as lion, tiger and cheetah battle for top cat title."
Movie,Black Is King,Beyoncé Knowles-Carter,Beyoncé Knowles-Carter,United States,31-Jul-20,2020,TV-14,86 min,"Dance, Music, Musical","This visual album from Beyoncé reimagines lessons of ""The Lion King"" for young kings and queens."
Movie,Cradle of the Gods,Tim Conrad,Tim Conrad,United Kingdom,31-Jul-20,2012,TV-PG,45 min,"Documentary, Historical","Located on a hilltop sanctuary, G – bekli Tepe in Turkey is the world's first known temple."
TV Show,Destination World,,Rick Robles,,31-Jul-20,2018,TV-G,1 Season,"Animals & Nature, Docuseries, Kids",Check out the continents and find out what makes them unique from each other!
TV Show,Fearless Adventures with Jack Randall,,Jack Randall,,31-Jul-20,2018,TV-PG,1 Season,"Animals & Nature, Docuseries, Family",Check out Jack Randall go head-to-head with all kinds of critters.
